task_instance_id,task_definition_id,task_name,task_scope,task_status,station_id,station_name,worker_id,worker_name,work_order_id,project_name,house_identifier,house_type_id,house_type_name,module_number,work_unit_id,panel_unit_id,panel_definition_id,panel_code,started_at,completed_at,duration_minutes,pause_minutes
1,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 08:00:00,2026-01-13 08:26:45.600000,26.76,0.0
2,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 08:26:45.600000,2026-01-13 08:36:34.200000,9.81,0.0
3,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 08:36:34.200000,2026-01-13 08:46:10.800000,9.61,0.0
4,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 08:46:10.800000,2026-01-13 08:52:52.800000,6.7,0.0
5,8,Retape de Corchetes,panel,Completed,4,Mesa 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 08:52:52.800000,2026-01-13 09:03:32.400000,10.66,0.0
6,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 09:03:32.400000,2026-01-13 09:11:28.200000,7.93,0.0
7,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100000,9,C-07,2026-01-13 09:11:28.200000,2026-01-13 09:19:46.800000,8.31,0.0
8,1,Armado Panel,panel,Completed,1,Framing,1,Jonathan Miguel Iturra Barrientos,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 08:26:45.600000,2026-01-13 08:47:22.200000,20.61,0.0
9,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,13,Jonathan Alexis Budaleo Alarcon,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 08:47:22.200000,2026-01-13 08:59:46.800000,12.41,0.0
10,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,3,Juan Miguel Jara Lafargue,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 08:59:46.800000,2026-01-13 09:09:46.800000,10.0,0.0
11,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:09:46.800000,2026-01-13 09:21:28.200000,11.69,0.0
12,8,Retape de Corchetes,panel,Completed,4,Mesa 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:21:28.200000,2026-01-13 09:31:31.200000,10.05,0.0
13,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:31:31.200000,2026-01-13 09:41:15,9.73,0.0
14,16,Fresado PLA,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:41:15,2026-01-13 09:47:57.600000,6.71,0.0
15,13,Instalación de lana,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:47:57.600000,2026-01-13 09:59:09.600000,11.2,0.0
16,14,Instalación y fijación de planchas OSB,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 09:59:09.600000,2026-01-13 10:13:00.600000,13.85,0.0
17,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,10,Alvaro Esteban Capilla Villarreol,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100001,10,MW-1 (M-03 + F-02),2026-01-13 10:13:00.600000,2026-01-13 10:21:15.600000,8.25,0.0
18,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 08:47:22.200000,2026-01-13 09:14:30,27.13,0.0
19,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 09:14:30,2026-01-13 09:27:57.600000,13.46,0.0
20,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 09:27:57.600000,2026-01-13 09:36:13.200000,8.26,0.0
21,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 09:36:13.200000,2026-01-13 09:51:12,14.98,0.0
22,8,Retape de Corchetes,panel,Completed,4,Mesa 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 09:51:12,2026-01-13 09:59:43.200000,8.52,0.0
23,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 09:59:43.200000,2026-01-13 10:12:52.200000,13.15,0.0
24,16,Fresado PLA,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 10:13:00.600000,2026-01-13 10:21:39,8.64,0.0
25,13,Instalación de lana,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 10:21:39,2026-01-13 10:34:01.200000,12.37,0.0
26,14,Instalación y fijación de planchas OSB,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 10:34:01.200000,2026-01-13 10:47:30.600000,13.49,0.0
27,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,8,Alejandro Alexis Palma Zenteno,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100002,11,"MW-2 (M-05, F-04)",2026-01-13 10:47:30.600000,2026-01-13 10:56:39,9.14,0.0
28,1,Armado Panel,panel,Completed,1,Framing,1,Jonathan Miguel Iturra Barrientos,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 09:14:30,2026-01-13 09:31:53.400000,17.39,0.0
29,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 09:31:53.400000,2026-01-13 09:42:27.600000,10.57,0.0
30,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,3,Juan Miguel Jara Lafargue,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 09:51:12,2026-01-13 09:59:58.800000,8.78,0.0
31,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 09:59:58.800000,2026-01-13 10:07:30.600000,7.53,0.0
